опошление  выпрямление 
мрачность  веселье веселость 
припасание  расходование 
трезвенник  алкоголик пьяница 
спадение  увеличение 
генерирование  погашение 
истец  подсудимый ответчик 
нелогичность  непротиворечивость 
негодность  исправность 
эпилог  начало 
суетность  успешность 
комедия  трагедия 
нерегулярность  систематичность 
скорость  вялость заторможенность 
похвала  порицание осуждение 
действительность  вымысел фантазия прошлое 
неумение  состоятельность 
неповторимость  обыденность 
категоричность  нерешительность 
возведение  исключение отмена поломка слом уничтожение упразднение 
замысловатость  простота 
ветхость  юность 
непрекословие  непокорность непослушание сопротивление 
иностранец  соотечественник туземец 
недостаток  избыток богатство 
всезнайство  невежество 
чужеземка  землячка соотечественница 
мягкость  жесткость 
устраивание  забрасывание сборка 
завал  удача 
консолидация  ослабление разногласия 
сострадание  жестокость 
твердь  вода 
обнищание  обогащение 
недолговечность  живучесть жизнестойкость стойкость 
намеренность  случайность 
убитый  живой 
крамольность  законность 
нарастание  облегчение 
либерал  реакционер рутинер 
управление  подчинение 
затасканность  необычность 
соратница  противница 
ученик  воспитатель репетитор 
нелицеприятность  предубеждение предубежденность пристрастие тенденциозность 
поклонник  враг 
аромат  вонь 
совокупность  противоречивость 
героизм  трусость малодушие 
свидание  разлука 
коммуникабельность  несовместимость 
различка  сходство 
тезаврирование  трата 
невезение  процветание 
недружелюбие  дружественность 
старт  финиш 
отшлифовывание  ухудшение 
отбив  отправление 
спонсор  мизантроп 
неприязнь  расположение 
нужность  бесполезность ненадобность никчемность 
дождь  ведро 
дерзость  уважение 
центр  окраина периферия 
угнетатель  освободитель 
закомплексованность  решительность 
увешивание  открытие 
декатенация  объединение 
грациозность  трудность 
келейность  доступность 
молчанка  шум 
корректив  порча 
простота  сложность замкнутость 
командующий  рядовой 
многоцветность  однообразие 
остановка  исправность 
выражение  сокрытие 
кривда  правда 
превышение  убыток 
фарс  трагедия 
закупка  отпуск продажа реализация сбыт торговля 
бедствие  счастье везение веселие успех 
закрепление  ослабление 
дезинформация  истина 
оправдание  осуждение 
засуха  паводок сырость 
постоянство  прерывность 
переселенец  иммигрант 
решение  наведение 
мотовство  накопительство 
демонтаж  компоновка соединение установка 
введение  отвод отключение послесловие пролог удаление элиминация эпилог 
невнимательность  заинтересованность интерес сосредоточенность тщание 
вводная часть  заключение 
незамутненность  неясность 
летучесть  устойчивость 
гибкость  неуступчивость 
мир  ссора война вражда конфликт борьба столкновение коллизия 
отповедь  подтверждение 
соединение  размыкание 
атеизм  вера религиозность 
заторможенность  бойкость быстрота проворство резвость скорость стремительность 
маскировка  нахождение 
затейливость  простота 
неодобрение  хвала 
занижение  завышение преувеличение 
жгучесть  неактуальность несовременность старомодность 
роскошь  нищета 
увал  наем 
реабилитация  репрессия 
дерзостность  трусость 
сближение  дивергенция 
хвост  голова 
мощность  слабость 
нетребовательность  привередливость строгость 
ступенчатость  непоследовательность 
утаивание  обнаружение предъявление 
трансгрессия  защита 
разнообразность  непротиворечивость 
трехраздельный  ясность 
аритмия  ритмичность размеренность правильность 
незначимость  судьбоносность эпохальность 
недовар  перевар 
темник  рядовой 
слом  создание 
подбодрение  порицание 
инкорпорирование  отключение 
беловик  черновик 
беднота  богатство 
иностранка  землячка соотечественница 
бесспорность  оспоримость 
упрямство  поколебимость 
хандра  повышение 
мандраж  спокойствие 
многомужество  одномужие 
голословность  аргументированность обоснованность основательность 
иноземец  земляк соотечественник 
сродство  разнородность 
нерентабельность  выгодность доход доходность 
заработок  расход 
потребитель  продавец 
масштаб  длина 
неприхотливость  требовательность 
пологость  крутизна 
ликование  скорбь 
исток  устье 
умолчание  высказанность досказанность 
набирание  увольнение 
добро  зло 
педантизм  небрежность 
невразумительность  общедоступность отчетливость четкость ясность 
невзыскательность  суровость 
форсирование  остановка 
вычет  вознаграждение добавление надбавка прибавок прибавление присовокупление приход 
консервативность  динамизм развитие 
брак  развод 
спасительность  пагубность 
конспиративность  открытость 
утрирование  литота уменьшение 
неосновательность  аргументированность 
наслаждение  боль мучение страдание 
неуважение  культ почитание 
избитость  незаурядность нетривиальность 
общность  въедливость деталь доскональность нетривиальность оригинальность подробность разногласия своеобразие специфичность частность 
подобие  неравенство 
немонотонность  однообразие 
невмешательство  вторжение интервенция 
выпуклость  вогнутость 
честность  греховность 
аванпост  арьергард 
нанесение  возмещение покрытие 
замкнутость  объединение 
хранение  расходование 
дегенерация  возрождение прогресс 
злоба  добро 
многоженство  однобрачие 
установление  выдворение 
интерес  невнимательность пренебрежение проигрыш равнодушие убыток 
разительность  обыкновенность 
неидентичность  совпадение 
ласковость  неприятие 
вульгаризация  усложнение 
несметность  исчислимость 
фальшивка  манускрипт оригинал 
неравномерность  ритмичность 
адвокат  обвинитель 
баба  мужик 
обобщение  отнятие 
малодушество  храбрость 
запад  восток 
вычурность  простота 
влезание  невмешательство выход 
упрочение  ослабление 
шершавость  гладкость 
грешник  праведник 
опьянение  отрезвление 
изолирование  объединение присоединение 
сознание  бессознательность 
близорукость  дальнозоркость дальновидность предусмотрительность 
разжигание  успокоение 
слава  бесславие позор срам 
консерватизм  реформаторство 
переносимость  стабильность 
коллективист  индивидуалист 
властность  преодолимость 
замыкание  отключение разъединение 
ремитер  получатель 
затор  ускорение убыстрение 
спурт  торможение 
кровопийство  милосердие 
изъедание  движение 
конкретизация  абстрагирование абстракция 
фальцовка  выпрямление 
затухание  вспышка подъем разжигание 
ертаул  арьергард арьергард 
повреждение  сужение 
массивность  слабость 
покровительство  препятствование 
крикун  молчун 
композиция  рассоединение 
сеча  примирение 
истина  ложь обман 
неизменность  мягкость 
партизанщина  соответствие 
ласка  строгость грубость террор 
сцепление  разъединение 
чужеземец  земляк соотечественник 
бессвязность  полнота 
младенчество  совершеннолетие старость 
сообщение  отрицание 
сводка  разъединение 
ад  рай эдем благодать блаженство парадиз 
раздробление  соединение 
эрудированность  невежество 
непунктуальность  аккуратность 
брешь  избыток 
успех  неизвестность 
урез  увеличение 
балласт  шедевр 
незаурядность  банальность стандартность стереотипность шаблонность избитость 
третий семестр  теория 
любовь  ненависть презрение 
коррумпированность  принципиальность 
заинтересованность  апатия безразличие индифферентность невнимательность равнодушие 
незаметность  значительность 
дивиденд  проигрыш расход 
почёт  позор презрение срам 
малограмотность  образованность развитость ученость 
щедрость  скаредность скупость 
разобщение  соединение 
узколобие  разносторонность широта 
обсекание  внесение 
память  забвение 
неудобство  комфорт 
своевольность  послушание 
воспитатель  ученик 
живой  мертвый 
чувствительность  невосприимчивость 
табуирование  разрешение 
промах  учитывание 
келлермейстер  заключенный 
промозглость  сухость 
противозаконность  легальность 
мгновение  вечность 
промоина  возвышение 
афагия  присутствие 
мера  чрезмерность безмерность 
единомышленник  противник противник 
выдумка  реальность 
откидка  аккуратность 
такт  бестактность 
непредубежденность  предвзятость 
обычность  необыкновенность 
жилица  хозяйка 
выстраивание  уничтожение роспуск 
созидатель  разрушитель 
неподверженность  восприимчивость 
нестойкость  стабильность 
необдуманность  осмотрительность 
фасад  арьергард 
тление  расцвет 
